Name,Team,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,xFIP,WAR
Cionel Pérez,BAL,19,0,21.2,8.72,7.48,1.25,0.379,59.4,8.31,5.77,5.18,-0.2
Austin Cox,ATL,13,1,21.1,9.28,2.95,3.8,0.328,65.6,8.86,7.54,4.01,-0.6
Yimi García,TOR,22,0,21.0,10.71,5.14,0.86,0.22,69.0,3.86,3.85,3.86,0.1
Andre Granillo,STL,14,0,21.0,7.71,3.0,1.29,0.306,73.6,4.71,4.42,4.91,0.0
Chris Stratton,2 Tms,15,0,21.0,9.43,4.29,1.71,0.412,60.4,7.71,4.94,4.3,-0.1
Luis Mey,CIN,23,0,21.0,9.0,7.29,1.29,0.259,87.7,3.43,5.56,4.88,-0.2
Chris Roycroft,STL,20,0,20.2,6.53,5.23,0.87,0.338,49.7,7.84,4.83,5.36,-0.1
Brandon Sproat,NYM,4,4,20.2,7.4,3.05,0.0,0.31,59.3,4.79,2.8,3.84,0.6
Dane Dunning,2 Tms,12,0,20.2,9.15,3.05,1.74,0.333,59.9,6.97,5.07,4.34,-0.1
Wikelman González,CHW,16,0,20.1,11.07,5.31,0.44,0.245,67.8,2.66,3.09,4.11,0.3
Sam Bachman,LAA,23,0,20.1,7.97,4.43,0.44,0.328,57.0,6.2,3.63,4.2,0.2
